end_station_name,member_casual,end_lat,end_lng,total_trips
"Ada St & 95th St",member,41.720001220703125,-87.66000366210938,1
"Ada St & Washington Blvd",casual,41.88283186712626,-87.66120848508226,2910
"Ada St & Washington Blvd",member,41.8828317887109,-87.66120824238196,4821
"Adler Planetarium",casual,41.86609659198717,-87.60726945227717,10116
"Adler Planetarium",member,41.866096561179525,-87.60726948004056,4429
"Al Raby School",member,41.88999938964844,-87.70999908447266,1
"Albany Ave & 103rd St",casual,41.709999084472656,-87.69999694824219,1
"Albany Ave & 103rd St",member,41.709999084472656,-87.69999694824219,1
"Albany Ave & 111th St - NW",casual,41.689998626708984,-87.69999694824219,1
"Albany Ave & 111th St - NW",member,41.689998626708984,-87.69999694824219,2
"Albany Ave & 16th St",casual,41.86000061035156,-87.69999694824219,72
"Albany Ave & 16th St",member,41.86000061035156,-87.69999694824219,44
"Albany Ave & 26th St",casual,41.84447495519267,-87.70201107224017,211
"Albany Ave & 26th St",member,41.84447479248047,-87.70201110839844,105
"Albany Ave & 63rd St",casual,41.779998779296875,-87.69999694824219,9
"Albany Ave & 63rd St",member,41.779998779296875,-87.69999694824219,12
"Albany Ave & Belmont Ave",casual,41.939998626708984,-87.70999908447266,171
"Albany Ave & Belmont Ave",member,41.939998626708984,-87.70999908447266,138
"Albany Ave & Bloomingdale Ave",casual,41.91402760750907,-87.70512376621791,1750
"Albany Ave & Bloomingdale Ave",member,41.914027698996925,-87.70512394353646,2352
"Albany Ave & Douglas Blvd",casual,41.86000061035156,-87.69999694824219,44
"Albany Ave & Douglas Blvd",member,41.86000061035156,-87.69999694824219,5
"Albany Ave & Montrose Ave",casual,41.9610405347026,-87.7058640392114,705
"Albany Ave & Montrose Ave",member,41.9610403586125,-87.70586374992334,1242
"Altgeld Gardens",casual,41.65666580200195,-87.59880065917969,52
"Altgeld Gardens",member,41.65666580200195,-87.59880065917969,10
"Archer (Damen) Ave & 37th St",casual,41.82671343175377,-87.6831440251048,205
"Archer (Damen) Ave & 37th St",member,41.82671356201172,-87.68314361572266,272
"Archer Ave & 43rd St",casual,41.81999969482422,-87.69999694824219,79
"Archer Ave & 43rd St",member,41.81999969482422,-87.69999694824219,54
"Archer Park",casual,41.79999923706055,-87.73999786376953,7
"Archer Park",member,41.79999923706055,-87.73999786376953,2
